customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Binary,Tenure_Group,Charge_Tier,Revenue_Segment,Is_Senior
TELCO-00001,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.54,1411.04,Yes,1,13-24 Months,Premium,Mid Value,Non-Senior
TELCO-00002,Female,0,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Two year,Yes,Credit card (automatic),42.82,3163.02,No,0,49-72 Months,Mid,High Value,Non-Senior
TELCO-00003,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,96.64,3942.18,No,0,25-48 Months,Premium,High Value,Non-Senior
TELCO-00004,Male,0,No,No,27,Yes,No,DSL,Yes,No,No,Two year,Yes,Credit card (automatic),63.92,1637.4,No,0,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00005,Female,0,Yes,No,5,No,No phone service,DSL,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.12,408.93,Yes,1,0-12 Months,High,Mid Value,Non-Senior
TELCO-00006,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),66.47,313.87,Yes,1,0-12 Months,High,Low Value,Non-Senior
TELCO-00007,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,18.0,18.37,Yes,1,0-12 Months,Low,Low Value,Non-Senior
TELCO-00008,Female,1,No,No,60,Yes,No,DSL,Yes,No,No,Two year,No,Credit card (automatic),18.0,1057.42,Yes,1,49-72 Months,Low,Mid Value,Senior
TELCO-00009,Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Bank transfer (automatic),71.3,1653.57,Yes,1,25-48 Months,High,Mid Value,Non-Senior
TELCO-00010,Female,0,No,Yes,36,Yes,No,Fiber optic,Yes,Yes,No,One year,No,Mailed check,57.09,1969.81,No,0,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00011,Male,0,No,Yes,1,No,No phone service,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,76.95,65.67,Yes,1,0-12 Months,High,Low Value,Non-Senior
TELCO-00012,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card (automatic),57.44,4159.28,Yes,1,49-72 Months,Mid,High Value,Non-Senior
TELCO-00013,Male,0,Yes,No,53,Yes,Yes,DSL,Yes,Yes,Yes,Two year,No,Credit card (automatic),120.0,5823.61,Yes,1,49-72 Months,Premium,High Value,Non-Senior
TELCO-00014,Female,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,One year,No,Mailed check,71.92,475.45,No,0,0-12 Months,High,Mid Value,Non-Senior
TELCO-00015,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,51.59,312.55,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00016,Female,0,No,No,6,No,No phone service,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.12,387.3,No,0,0-12 Months,High,Low Value,Non-Senior
TELCO-00017,Female,1,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),52.14,459.72,No,0,0-12 Months,Mid,Mid Value,Senior
TELCO-00018,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,67.79,1386.38,Yes,1,13-24 Months,High,Mid Value,Non-Senior
TELCO-00019,Male,0,No,No,16,Yes,No,Fiber optic,Yes,No,Yes,One year,Yes,Credit card (automatic),28.48,408.28,Yes,1,13-24 Months,Low,Mid Value,Non-Senior
TELCO-00020,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,64.74,594.04,No,0,0-12 Months,Mid,Mid Value,Non-Senior
TELCO-00021,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,No,Credit card (automatic),50.66,1488.89,Yes,1,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00022,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.32,127.17,No,0,0-12 Months,Low,Low Value,Non-Senior
TELCO-00023,Female,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,120.0,1232.14,Yes,1,0-12 Months,Premium,Mid Value,Non-Senior
TELCO-00024,Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.49,438.17,No,0,13-24 Months,Low,Mid Value,Non-Senior
TELCO-00025,Female,0,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),65.21,1077.75,No,0,13-24 Months,High,Mid Value,Non-Senior
TELCO-00026,Female,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.92,1711.81,No,0,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00027,Male,0,No,No,6,Yes,No,DSL,Yes,Yes,Yes,Two year,No,Credit card (automatic),73.91,397.7,No,0,0-12 Months,High,Mid Value,Non-Senior
TELCO-00028,Male,1,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,Bank transfer (automatic),26.77,571.18,No,0,13-24 Months,Low,Mid Value,Senior
TELCO-00029,Male,1,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,90.21,2312.41,Yes,1,25-48 Months,Premium,Mid Value,Senior
TELCO-00030,Male,1,Yes,Yes,1,Yes,Yes,DSL,No,Yes,Yes,Two year,Yes,Credit card (automatic),120.0,107.67,No,0,0-12 Months,Premium,Low Value,Senior
TELCO-00031,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,No,One year,No,Bank transfer (automatic),39.81,1031.52,No,0,25-48 Months,Mid,Mid Value,Non-Senior
TELCO-00032,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),101.51,482.85,No,0,0-12 Months,Premium,Mid Value,Non-Senior
TELCO-00033,Female,0,No,Yes,2,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),53.54,102.33,No,0,0-12 Months,Mid,Low Value,Non-Senior
TELCO-00034,Male,1,No,No,72,Yes,No,Fiber optic,Yes,Yes,No,One year,No,Credit card (automatic),110.17,8152.32,Yes,1,49-72 Months,Premium,High Value,Senior
